;predicate;formula;frequency;closest_solution;solution_distance
37;this/inv4;(all ref0:(one State)|(some ref1:(one Event)|((ref1 . (ref0 . (State <: trans))) in State)));5;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));11
38;this/inv2;(all ref0:(one Init),ref1:(one Init)|(ref0 = ref1));4;(one Init);7
39;this/inv4;(State in ((Event . (Init . (State <: trans))) + Init));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));11
40;this/inv1;(all ref0:(one State)|(lone (ref0 . (State <: trans))));4;(no ref0:(one State)|(no (ref0 . (State <: trans))));4
41;this/inv4;(State in (Event . (^ (Init . (State <: trans)))));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));9
42;this/inv1;(all ref0:(one State)|(some ((State <: trans) . ref0)));4;(all ref0:(one State)|(some (ref0 . (State <: trans))));4
43;this/inv1;(some ((State <: trans) . State));4;(all ref0:(one State)|(some (ref0 . (State <: trans))));3
44;this/inv4;(State in (Init . (^ (State -> (Event . (State . (State <: trans)))))));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));8
45;this/inv1;(some ((Event -> State) & (State . (State <: trans))));4;(all ref0:(one State)|(some (ref0 . (State <: trans))));7
46;this/inv3;(all ref0:(one Event),ref1:(one State)|(lone (ref1 . (State <: trans))));4;(all ref0:(one Event),ref1:(one State)|(lone (ref0 <: (ref1 . (State <: trans)))));6
47;this/inv4;(all ref0:(one State)|(ref0 in (Init . (* (Event . (State <: trans))))));4;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(ref2 in (Event . (ref1 . (State <: trans))))}))));10
48;this/inv5;(all ref0:(one State)|(some (ref0 -> Event)));4;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));15
49;this/inv5;(all ref0:(one State),ref1:(one State)|((some (ref0 -> Event)) => (some (ref1 -> Event))));4;(all ref0:(one Event),ref1:(one State),ref2:(one State)|((some (ref0 . (ref1 . (State <: trans)))) => (some (ref0 . (ref2 . (State <: trans))))));19
50;this/inv1;(lone (State <: trans));4;(no ref0:(one State)|(no (ref0 . (State <: trans))));5
51;this/inv3;(all ref0:(one Event),ref1:(one State)|(one (ref0 . (ref1 . (State <: trans)))));4;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));6
52;this/inv5;(all ref0:(one State)|((State . (~ (ref0 . (State <: trans)))) in Event));4;(all ref0:(one State),ref1:(one State)|((State . (~ (ref0 . (State <: trans)))) = (State . (~ (ref1 . (State <: trans))))));12
53;this/inv4;(all ref0:(one State)|(ref0 in (Init . (^ ((State <: trans) . Event)))));4;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(some ((ref1 . (State <: trans)) . ref2))}))));9
54;this/inv4;(all ref0:(one State)|(some ((Init . (State <: trans)) . ref0)));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));12
55;this/inv4;(all ref0:(one Init)|((ref0 . (^ {ref1:(one State),ref2:(one State)|((ref1 -> (Event -> ref2)) in (State <: trans))})) = State));4;((Init . (~ (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref1 -> (ref2 -> ref0)) in (State <: trans)))}))) = State);11
56;this/inv4;(all ref0:(one Init),ref1:(one State)|(ref1 in (ref0 . (* {ref2:(one State),ref3:(one State)|((ref2 -> (Event -> ref3)) in (State <: trans))}))));4;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(some ref3:(one Event)|((ref1 -> (ref3 -> ref2)) in (State <: trans)))}))));18
57;this/inv3;(all ref0:(one State)|(lone ref1:(one Event)|((ref1 -> ref0) in (ref0 . (State <: trans)))));4;(all ref0:(one Event),ref1:(one State)|(lone ref2:(one State)|((ref0 -> ref2) in (ref1 . (State <: trans)))));9
58;this/inv4;(all ref0:(one Init)|(State in (ref0 . (* {ref1:(one State),ref2:(one State)|(some ref3:(one Event)|((ref1 -> (ref3 -> ref2)) in (State <: trans)))}))));4;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(some ref3:(one Event)|((ref1 -> (ref3 -> ref2)) in (State <: trans)))}))));14
59;this/inv4;(all ref0:(one Event),ref1:(one Init)|(State in (ref0 . (* (ref1 . (State <: trans))))));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));13
60;this/inv4;(all ref0:(one Init)|(State in (Event . (* (ref0 . (State <: trans))))));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));9
61;this/inv4;(State in (Event . ((Event . (Init . (State <: trans))) . (State <: trans))));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));11
62;this/inv5;(all ref0:(one Event),ref1:(one State),ref2:(one State)|((ref1 -> (ref0 -> ref2)) in (State <: trans)));3;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));18
63;this/inv3;(lone ((State . (State <: trans)) . State));3;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));6
64;this/inv4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|((ref0 + (Event . (ref0 . (State <: trans)))) = ref1)})));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));10
65;this/inv1;(all ref0:(one State)|(some (State <: trans)));3;(all ref0:(one State)|(some (ref0 . (State <: trans))));4
66;this/inv4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|(ref1 = (ref2 . (ref0 . (State <: trans)))))})));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|(ref1 in (ref2 . (ref0 . (State <: trans)))))})));8
67;this/inv5;(all ref0:(one State)|((State . (ref0 . (State <: trans))) in Event));3;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));12
68;this/inv5;(State in (State . ((State <: trans) . Event)));3;(all ref0:(one State)|((ref0 . ((State <: trans) . State)) = (State . ((State <: trans) . State))));9
69;this/inv5;(all ref0:(one State),ref1:(one State)|((ref0 . (State <: trans)) = (ref1 . (State <: trans))));3;(all ref0:(one State),ref1:(one State)|((ref0 . ((State <: trans) . State)) = (ref1 . ((State <: trans) . State))));8
70;this/inv4;(all ref0:(one Init)|(some ref1:(one Event)|(State in (ref1 . (* (ref0 . (State <: trans)))))));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));10
71;this/inv4;(all ref0:(one Event)|((ref0 . (^ (Init . (State <: trans)))) = State));3;((Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);10
72;this/inv5;(all ref0:(one Event),ref1:(one State)|(some (ref1 -> (ref0 -> State))));3;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));16
73;this/inv4;(State in ((Init . (State <: trans)) . Event));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));10
74;this/inv2;(one State);3;(one Init);2
75;this/inv6;(all ref0:(one Event)|(some ((State . (State <: trans)) . ref0)));3;(all ref0:(one Event)|(some (ref0 . (State . (State <: trans)))));4
76;this/inv3;(((~ ((State <: trans) . State)) . ((State <: trans) . State)) in iden);3;(all ref0:(one State)|(((~ (ref0 . (State <: trans))) . (ref0 . (State <: trans))) in iden));5
77;this/inv3;(all ref0:(one Event),ref1:(one State),ref2:(one State)|(lone (ref1 -> (ref0 -> ref2))));3;(all ref0:(one Event),ref1:(one State)|(lone ((~ (ref1 . (State <: trans))) . ref0)));12
78;this/inv4;(all ref0:(one (State - Init))|(some ref1:(one Event)|(ref0 in (ref1 . (^ (Init . (State <: trans)))))));3;(all ref0:(one State)|(some ref1:(one Init)|(ref0 in (ref1 . (^ {ref2:(one State),ref3:(one State)|(some ((ref2 . (State <: trans)) . ref3))})))));11
79;this/inv4;(all ref0:(one State)|(ref0 in (Event . (^ (Init . (State <: trans))))));3;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(some ((ref1 . (State <: trans)) . ref2))}))));11
80;this/inv1;(lone (State . (State <: trans)));3;(no ref0:(one State)|(no (ref0 . (State <: trans))));5
81;this/inv4;(all ref0:(one State)|(ref0 in (Init . (Event . (State <: trans)))));3;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(ref2 in (Event . (ref1 . (State <: trans))))}))));9
82;this/inv4;(all ref0:(one State)|(some (ref0 . (Init . (State <: trans)))));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));12
83;this/inv4;(all ref0:(one Event),ref1:(one State),ref2:(one State)|(lone ((ref1 . (State <: trans)) . Event)));3;(all ref0:(one State)|((Init . (^ {ref1:(one State),ref2:(one State)|(some ((ref1 . (State <: trans)) . ref2))})) = State));15
84;this/inv4;(all ref0:(one State)|(some ref1:(one Event)|(ref0 in (ref1 . (^ (Init . (State <: trans)))))));3;(all ref0:(one State)|(some ref1:(one Init)|(ref0 in (ref1 . (^ {ref2:(one State),ref3:(one State)|(some ((ref2 . (State <: trans)) . ref3))})))));11
85;this/inv5;(all ref0:(one Event),ref1:(one State),ref2:(one State)|(some ref3:(one State),ref4:(one State)|(((ref1 -> (ref0 -> ref3)) in (State <: trans)) => ((ref2 -> (ref0 -> ref4)) in (State <: trans)))));3;(all ref0:(one State),ref1:(one State)|({ref2:(one Event)|(some ref3:(one State)|((ref0 -> (ref2 -> ref3)) in (State <: trans)))} = {ref4:(one Event)|(some ref5:(one State)|((ref1 -> (ref4 -> ref5)) in (State <: trans)))}));21
86;this/inv3;(all ref0:(one Event),ref1:(one State)|(some (ref0 . (ref1 . (State <: trans)))));3;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));6
87;this/inv1;(iden in ((~ ((State <: trans) . State)) . ((State <: trans) . State)));3;((State . iden) in (((State <: trans) . State) . Event));7
88;this/inv4;(all ref0:(one State)|(State in (Init . (* (ref0 . (State <: trans))))));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));8
89;this/inv4;(all ref0:(one State)|(ref0 in ((Event . ((Event . (Init . (State <: trans))) . (State <: trans))) + (Event . (Init . (State <: trans))))));3;(all ref0:(one State)|(ref0 in ((Event . ((Event . ((Event . (Init . (State <: trans))) . (State <: trans))) . (State <: trans))) + ((Event . ((Event . (Init . (State <: trans))) . (State <: trans))) + (Event . (Init . (State <: trans)))))));16
90;this/inv4;(all ref0:(one Init),ref1:(one State)|(ref1 in (ref0 . (* (Event . (State <: trans))))));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));14
91;this/inv4;((State - Init) in (Event . (^ (Init . (State <: trans)))));3;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));10
92;this/inv3;(all ref0:(one Event)|((State -> State) in ((State <: trans) . ref0)));2;(all ref0:(one Event),ref1:(one State)|(lone ref2:(one State)|((ref0 -> ref2) in (ref1 . (State <: trans)))));10
93;this/inv2;(some State);2;(one Init);4
94;this/inv1;(iden in ((~ (State . (State <: trans))) . (State . (State <: trans))));2;((State . iden) in (((State <: trans) . State) . Event));9
95;this/inv1;(all ref0:(one State)|(lone ((State <: trans) . ref0)));2;(no ref0:(one State)|(no (ref0 . (State <: trans))));6
96;this/inv5;(all ref0:(one State)|((ref0 -> (Event -> State)) in (State <: trans)));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));14
97;this/inv4;(State in (Init . (^ ((State <: trans) . Event))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));7
98;this/inv3;(lone (State . (State <: trans)));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 <: (ref1 . (State <: trans)))));6
99;this/inv4;(State in (Init . (^ (State -> State))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));11
100;this/inv3;(lone ((State <: trans) . State));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 <: (ref1 . (State <: trans)))));6
101;this/inv5;(all ref0:(one State)|(some (ref0 -> (Event -> State))));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));15
102;this/inv3;(all ref0:(one State)|(one ref1:(one Event)|(lone ((ref0 . (State <: trans)) . ref1))));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));8
103;this/inv5;(all ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((some (ref2 . (ref0 . (State <: trans)))) => (some (ref2 . (ref1 . (State <: trans)))))));2;(all ref0:(one State),ref1:(one State)|(((ref0 . (State <: trans)) . State) = ((ref1 . (State <: trans)) . State)));13
104;this/inv3;(one ((State . (State <: trans)) . State));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));8
105;this/inv4;(all ref0:(one Init),ref1:(one State)|(ref1 in ((ref0 . (State <: trans)) . State)));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));11
106;this/inv3;(all ref0:(one State)|(some ref1:(one State)|(no (((ref0 . (State <: trans)) . ref1) - Event))));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));12
107;this/inv5;(all ref0:(one State),ref1:(one State)|(((ref0 . (State <: trans)) . univ) = ((univ . (State <: trans)) . ref1)));2;(all ref0:(one State),ref1:(one State)|(((ref0 . (State <: trans)) . univ) = ((ref1 . (State <: trans)) . univ)));8
108;this/inv4;(State in (Init . (* (Event . (State <: trans)))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));8
109;this/inv4;(some (iden & ((Init . (State <: trans)) . (^ (Event -> State)))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));16
110;this/inv4;((Init . (* (Event . (State <: trans)))) in State);2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));10
111;this/inv5;(all ref0:(one State),ref1:(one State)|(((ref0 . (State <: trans)) . Event) = ((ref1 . (State <: trans)) . Event)));2;(all ref0:(one State),ref1:(one State)|(((ref0 . (State <: trans)) . State) = ((ref1 . (State <: trans)) . State)));8
112;this/inv5;(all ref0:(one State)|(some (ref0 . (State <: trans))));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));11
113;this/inv4;(all ref0:(one Event),ref1:(one Init)|((ref0 . (^ (ref1 . (State <: trans)))) = State));2;(all ref0:(one State)|((Init . (^ {ref1:(one State),ref2:(one State)|(some ((ref1 . (State <: trans)) . ref2))})) = State));10
114;this/inv6;(some ((State . (State <: trans)) . State));2;(all ref0:(one Event)|(some (((State . (State <: trans)) . State) <: ref0)));3
115;this/inv3;(all ref0:(one Event),ref1:(one Event),ref2:(one State)|((! disj[ref0,ref1]) || ((((ref2 -> ref0) in ((State <: trans) . State)) && ((ref2 -> ref1) in ((State <: trans) . State))) => (ref0 = ref1))));2;(all ref0:(one Event),ref1:(one State)|(lone ref2:(one State)|((ref0 -> ref2) in (ref1 . (State <: trans)))));27
116;this/inv4;(all ref0:(one Event),ref1:(one Init)|((ref0 . (ref1 . (State <: trans))) = State));2;(all ref0:(one State)|((Init . (^ {ref1:(one State),ref2:(one State)|(some ((ref1 . (State <: trans)) . ref2))})) = State));11
117;this/inv4;((Init . (^ (Event . (State <: trans)))) = State);2;((Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);7
118;this/inv5;(all ref0:(one State)|((Event . ((State <: trans) . ref0)) in Event));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));14
119;this/inv4;(some (* (Init . (State <: trans))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));12
120;this/inv5;(all ref0:(one State)|(((ref0 . (State <: trans)) . ref0) in Event));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));12
121;this/inv5;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) in Event));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));10
122;this/inv6;(all ref0:(one Event)|(some (ref0 . (State <: trans))));2;(all ref0:(one Event)|(some (ref0 . (State . (State <: trans)))));4
123;this/inv3;(all ref0:(one Event),ref1:(one State)|(lone (ref1 <: ((State <: trans) . ref0))));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 <: (ref1 . (State <: trans)))));8
124;this/inv6;(all ref0:(one Event)|(some ((State <: trans) . ref0)));2;(all ref0:(one Event)|(some (((State <: trans) . State) . ref0)));4
125;this/inv4;(all ref0:(one Event)|(((ref0 . (^ (Init . (State <: trans)))) + Init) = State));2;((Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);12
126;this/inv3;(lone ((State <: trans) . Event));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 <: (ref1 . (State <: trans)))));6
127;this/inv6;(all ref0:(one State)|(some ((ref0 . (State <: trans)) . State)));2;(all ref0:(one Event)|(some (((State . (State <: trans)) . State) <: ref0)));6
128;this/inv4;(some (Event . (^ (Init . (State <: trans)))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));12
129;this/inv4;(some (Event . (Init . (State <: trans))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));11
130;this/inv4;(all ref0:(one State)|((Init -> (Event -> ref0)) in (State <: trans)));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));12
131;this/inv4;(all ref0:(one State)|(some ref1:(one Event)|((ref1 -> ref0) in (Init . (State <: trans)))));2;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(some ((ref1 . (State <: trans)) . ref2))}))));13
132;this/inv5;(all ref0:(one State),ref1:(one State)|((! disj[ref0,ref1]) || (some ref2:(one Event)|((one (ref2 . (ref0 . (State <: trans)))) => (one (ref2 . (ref1 . (State <: trans))))))));2;(all ref0:(one State),ref1:(one State)|((! disj[ref0,ref1]) || (((ref0 . (State <: trans)) . State) = ((ref1 . (State <: trans)) . State))));13
133;this/inv5;(Event in ((State . (State <: trans)) . State));2;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));9
134;this/inv3;(all ref0:(one Event),ref1:(one State)|(one (ref1 -> ref0)));2;(all ref0:(one Event),ref1:(one State)|(lone ((~ (ref1 . (State <: trans))) . ref0)));11
135;this/inv1;(all ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans))));2;(no ref0:(one State)|(no (ref0 . (State <: trans))));11
136;this/inv3;(all ref0:(one State),ref1:(one State)|(lone ((ref0 . (State <: trans)) . ref1)));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));8
137;this/inv6;(all ref0:(one Event)|(lone ((State . (State <: trans)) . ref0)));2;(all ref0:(one Event)|(some (ref0 . (State . (State <: trans)))));6
138;this/inv4;(all ref3:(one Init),ref4:(one State)|((ref3 -> ref4) in (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans)))})));2;(all ref3:(one State)|(some ref4:(one Init)|(ref3 in (ref4 . (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans)))})))));12
139;this/inv3;(all ref0:(one Event)|((# (ref0 . (State . (State <: trans)))) < 1));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));9
140;this/inv4;(State in (Event . (State . (State <: trans))));2;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));9
141;this/inv3;(all ref0:(one State)|(lone (State . (~ (ref0 . (State <: trans))))));2;(all ref0:(one Event),ref1:(one State)|(lone ((~ (ref1 . (State <: trans))) . ref0)));7
142;this/inv3;(all ref0:(one Event),ref1:(one State)|(lone ((ref1 -> ref0) . (State <: trans))));2;(all ref0:(one Event),ref1:(one State)|(lone (ref0 <: (ref1 . (State <: trans)))));8
