;predicate;formula;frequency;closest_solution;solution_distance
46;this/prop12;(some ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash))));9;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));6
47;this/prop12;(eventually (always (some ref0:(one File)|((ref0 !in Trash) => (ref0 in (Trash)')))));9;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));7
48;this/prop9;(always (all ref0:(one Protected)|(always (ref0 !in Trash))));9;(always (all ref0:(one Protected)|(ref0 !in Trash)));3
49;this/prop7;(some ref0:(one File)|(eventually (ref0 in Protected)));8;(eventually (some ref0:(one File)|(ref0 in Protected)));2
50;this/prop12;(eventually (some ref0:(one File)|((ref0 in Trash) => (always (ref0 in Trash)))));8;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));4
51;this/prop10;(always (all ref0:(one Protected)|(ref0 in Protected)));8;(always ((Protected)' = Protected));6
52;this/prop12;(eventually (all ref0:(one File)|((ref0 in Trash) => (always (ref0 in Trash)))));8;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));4
53;this/prop8;(always (eventually (((File <: link) . File) in Trash)));8;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));5
54;this/prop3;(some File);7;(always (some File));1
55;this/prop1;(no Trash);7;(no (Protected + Trash));2
56;this/prop8;(all ref0:(one File)|((some ((File <: link) . ref0)) => (eventually (ref0 in Trash))));7;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));5
57;this/prop10;(always (all ref0:(one Protected)|(ref0 in (Protected)')));7;(always ((Protected)' = Protected));5
58;this/prop11;(all ref0:(one File)|((ref0 !in Protected) => (after (ref0 in Protected))));7;(always (all ref0:(one File)|((ref0 !in Protected) => (after (ref0 in Protected)))));3
59;this/prop5;(eventually (no Trash));7;(eventually (some ref0:(one File)|(eventually (no (ref0 & File)))));6
60;this/prop18;(always (all ref0:(one Protected)|((ref0 !in Protected) since (ref0 in Trash))));7;(always (all ref0:(one Protected)|((after (ref0 !in Protected)) => (ref0 in Trash))));5
61;this/prop18;(always (all ref0:(one Protected)|((ref0 in Trash) triggered (ref0 !in Protected))));7;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 in Protected))));6
62;this/prop12;(eventually (always (all ref0:(one File)|((ref0 !in Trash) => (ref0 in (Trash)')))));7;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));7
63;this/prop10;(always (all ref0:(one File)|((ref0 in Protected) => (ref0 in (Protected)'))));7;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));7
64;this/prop5;(always (some ref0:(one File)|(eventually (ref0 !in File))));7;(eventually (some ref0:(one File)|(after (ref0 !in File))));4
65;this/prop6;(all ref0:(one File)|((ref0 in Trash) since (ref0 in Trash)));6;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));6
66;this/prop7;(some ref0:(one File)|(ref0 in Protected));6;(eventually (some ref0:(one File)|(ref0 in Protected)));3
67;this/prop8;(always (eventually ((File . (File <: link)) in Trash)));6;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));5
68;this/prop10;(all ref0:(one File)|((once (ref0 in Protected)) => (always (ref0 in Protected))));6;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));9
69;this/prop10;(all ref0:(one File)|((always (ref0 in Protected)) since (ref0 in Protected)));6;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));6
70;this/prop12;(some ref0:(one File)|(eventually (always (ref0 in Trash))));6;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));2
71;this/prop10;(always (all ref0:(one File)|((once (ref0 in Protected)) => (always (ref0 in Protected)))));6;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));8
72;this/prop18;(always (all ref0:(one Protected)|((ref0 !in (Protected)') => (ref0 in (Trash)'))));6;(always (all ref0:(one Protected)|((ref0 !in (Protected)') => (ref0 in Trash))));3
73;this/prop8;(always (all ref0:(one File)|(eventually ((ref0 . (File <: link)) in Trash))));6;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));4
74;this/prop7;(always (some Protected));5;(eventually (some Protected));2
75;this/prop5;(eventually (some (File & Trash)));5;(eventually (some (File - (File)')));5
76;this/prop8;(all ref0:(one (File . (File <: link)))|(eventually (ref0 in Trash)));5;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));3
77;this/prop6;(all ref0:(one File)|((always (ref0 in Trash)) since (ref0 in Trash)));5;(always (all ref0:(one (File & Trash))|(always (ref0 in Trash))));7
78;this/prop6;(eventually (all ref0:(one Trash)|(always (ref0 in Trash))));5;(always (all ref0:(one (File & Trash))|(always (ref0 in Trash))));4
79;this/prop6;(all ref0:(one File)|((once (ref0 in Trash)) => (always (ref0 in Trash))));5;(always (all ref0:(one Trash)|((once (ref0 in Trash)) => (always (ref0 in Trash)))));3
80;this/prop8;(all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash))));5;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));3
81;this/prop10;(always (all ref0:(one File)|((ref0 in Protected) since (ref0 in Protected))));5;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));6
82;this/prop12;(all ref0:(one File)|(eventually (always (ref0 in Trash))));5;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));2
83;this/prop11;(all ref0:(one (File - Protected))|(after (ref0 in Protected)));5;(always (all ref0:(one (File - Protected))|(after (ref0 in Protected))));3
84;this/prop12;(all ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash))));5;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));6
85;this/prop18;(always (all ref0:(one Protected)|((ref0 !in Protected) releases (ref0 in Trash))));5;(always (all ref0:(one Protected)|((after (ref0 !in Protected)) => (ref0 in Trash))));5
86;this/prop18;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 !in Protected))));5;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 in Protected))));4
87;this/prop10;(always (all ref0:(one File)|((ref0 in Protected) => (always (ref0 in (Protected)')))));5;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));8
88;this/prop11;((after (File in Protected)) && (always (File !in Protected)));5;(always (all ref0:(one (File - Protected))|(after (ref0 in Protected))));9
89;this/prop12;(always (some ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash)))));5;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));7
90;this/prop12;(eventually (all ref0:(one File)|(ref0 in Trash)));5;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));3
91;this/prop12;(eventually (all ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash)))));5;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));5
92;this/prop12;(always (all ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash)))));5;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));7
93;this/prop12;(eventually (some ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash)))));5;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));5
94;this/prop10;((Protected)' = Protected);5;(always ((Protected)' = Protected));1
95;this/prop8;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (eventually (ref0 in Trash))));5;(always (all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (eventually (ref0 in Trash)))));5
96;this/prop12;(eventually (some Trash));5;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));5
97;this/prop6;(some ref0:(one File)|(always (ref0 in Trash)));4;(always (all ref0:(one (File & Trash))|(always (ref0 in Trash))));3
98;this/prop6;(always (all ref0:(one Trash)|(ref0 in Trash)));4;(always (all ref0:(one (File & Trash))|(always (ref0 in Trash))));3
99;this/prop6;(always (some ref0:(one File)|((ref0 in Trash) => (always (ref0 in (Trash)')))));4;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));3
100;this/prop8;(all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually ((ref0 . (File <: link)) in Trash))));4;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));5
101;this/prop6;(all ref0:(one File)|(always ((ref0 in Trash) since (ref0 in Trash))));4;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));5
102;this/prop6;(all ref0:(one File)|((ref0 in Trash) => (after (always (ref0 in Trash)))));4;(always (all ref0:(one File)|((ref0 in Trash) => (after (always (ref0 in Trash))))));3
103;this/prop11;(always ((Protected)' = (File - Protected)));4;(always ((File - Protected) in (Protected)'));6
104;this/prop8;(always (all ref0:(one File)|((some (ref0 . (^ (File <: link)))) => (eventually ((ref0 . (^ (File <: link))) in Trash)))));4;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));6
105;this/prop8;(eventually (all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 in Trash))));4;(always (all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (eventually (ref0 in Trash)))));7
106;this/prop18;(always (all ref0:(one Protected)|((ref0 !in Protected) => (ref0 in Trash))));4;(always (all ref0:(one Protected)|((after (ref0 !in Protected)) => (ref0 in Trash))));3
107;this/prop10;(always ((Protected)' in Protected));4;(always ((Protected)' = Protected));2
108;this/prop12;(eventually (some ref0:(one File)|(eventually (ref0 in Trash))));4;(eventually (some ref0:(one File)|(eventually (always (ref0 in Trash)))));3
109;this/prop10;(always (all ref0:(one Protected)|(always (ref0 in (Protected)'))));4;(always ((Protected)' = Protected));6
110;this/prop14;(all ref0:(one File)|(((ref0 in Protected) && (ref0 in Trash)) => (ref0 !in (Protected)')));4;(always (all ref0:(one File)|(((ref0 in Protected) && (ref0 in Trash)) => (ref0 !in (Protected)'))));3
111;this/prop11;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in (Protected)')));4;(always (all ref0:(one File)|((ref0 !in Protected) => (ref0 in (Protected)'))));3
112;this/prop12;((always (all ref0:(one File)|((ref0 in Trash) => (always (ref0 in Trash))))) && (eventually (some Trash)));4;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));10
113;this/prop8;(always (all ref0:(one (File . (File <: link)))|(always (eventually (ref0 in Trash)))));4;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));3
114;this/prop5;(always (some ref0:(one File)|(eventually (ref0 in Trash))));4;(eventually (some ref0:(one File)|(after (ref0 !in File))));8
115;this/prop12;(always (some ref0:(one File)|(eventually (always (ref0 in Trash)))));4;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));3
116;this/prop5;(eventually (some ref0:(one File)|((ref0)' in (Trash)')));4;(eventually (some ref0:(one File)|(ref0 !in (File)')));7
117;this/prop12;(eventually (all ref0:(one File)|((ref0 in Trash) => (ref0 in (Trash)'))));4;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));6
118;this/prop12;(always (all ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in (Trash)')))));4;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));8
119;this/prop12;(eventually (always (all ref0:(one File)|((ref0 in Trash) => (always (ref0 in (Trash)'))))));4;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));6
120;this/prop7;(always (all ref0:(one File)|(after (ref0 in Protected))));4;(eventually (some ref0:(one File)|(ref0 in Protected)));5
121;this/prop9;(all ref0:(one Protected)|(ref0 !in (Trash)'));4;(always (all ref0:(one Protected)|(ref0 !in Trash)));4
122;this/prop5;(some ref0:(one File)|(eventually (no ref0)));3;(eventually (some ref0:(one File)|(eventually (no (ref0 & File)))));5
123;this/prop5;(some ref0:(one File)|(eventually (ref0 !in (File)')));3;(eventually (some ref0:(one File)|(ref0 !in (File)')));2
124;this/prop5;(eventually ((File)' = (File - Trash)));3;(eventually (File !in (File)'));6
125;this/prop6;(always (some ref0:(one File)|((ref0 in Trash) => (always (ref0 in Trash)))));3;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));2
126;this/prop6;(all ref0:(one File)|((always (ref0 in Trash)) => (always (ref0 in Trash))));3;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));4
127;this/prop6;(all ref0:(one File)|((eventually (ref0 in Trash)) => (always (ref0 in Trash))));3;(always (all ref0:(one Trash)|((eventually (ref0 in Trash)) => (always (ref0 in Trash)))));3
128;this/prop6;((File in Trash) => (always (File in Trash)));3;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));6
129;this/prop16;(always (all ref0:(one File)|((ref0 in Protected) => (ref0 in (Protected)'))));3;(always (all ref0:(one File)|((ref0 in Protected) => (historically (ref0 in Protected)))));4
130;this/prop8;(all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash)));3;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));3
131;this/prop9;(always (Protected !in (Trash)'));3;(always (no (Protected & Trash)));4
132;this/prop8;(all ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) = ref1) => (eventually (ref1 in Trash))));3;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));9
133;this/prop5;(eventually (no File));3;(eventually (some ref0:(one File)|(eventually (no (ref0 & File)))));4
134;this/prop6;((always (File in Trash)) since (File in Trash));3;(always (Trash in (Trash)'));7
135;this/prop5;(eventually (File in Trash));3;(eventually (File !in (File)'));5
136;this/prop10;(all ref0:(one File)|((ref0 in Protected) since (ref0 in Protected)));3;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));7
137;this/prop11;((Protected)' = File);3;(always (all ref0:(one (File - Protected))|(ref0 in (Protected)')));6
138;this/prop11;(after (File in Protected));3;(always (all ref0:(one (File - Protected))|(after (ref0 in Protected))));4
139;this/prop16;(all ref0:(one File)|((eventually (ref0 in Protected)) => (historically (ref0 in Protected))));3;(always (all ref0:(one File)|((ref0 in Protected) => (historically (ref0 in Protected)))));4
140;this/prop6;(eventually (always (some Trash)));3;(always (Trash in (Trash)'));5
141;this/prop5;(some ref0:(one File)|(eventually (File = (File - ref0))));3;(eventually (File !in (File)'));6
142;this/prop14;(all ref0:(one Protected)|((ref0 in Trash) => (after (ref0 !in Protected))));3;(always (all ref0:(one Protected)|((ref0 in Trash) => (after (ref0 !in Protected)))));3
143;this/prop8;(all ref0:(one File)|(eventually ((ref0 . (* (File <: link))) in Trash)));3;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));6
144;this/prop16;(all ref0:(one File)|(historically (ref0 in Protected)));3;(always (all ref0:(one (File & Protected))|(historically (ref0 in Protected))));3
145;this/prop8;(always (all ref0:(one File)|((some (ref0 . (* (File <: link)))) => (eventually ((ref0 . (* (File <: link))) in Trash)))));3;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));6
146;this/prop6;(once (all ref0:(one Trash)|(always (ref0 in Trash))));3;(always (all ref0:(one (File & Trash))|(always (ref0 in Trash))));4
147;this/prop14;(all ref0:(one File)|((ref0 in (Protected & Trash)) => (ref0 !in (Protected)')));3;(always (all ref0:(one File)|((ref0 in (Protected & Trash)) => (ref0 !in (Protected)'))));3
148;this/prop6;(always (some ref0:(one Trash)|(always (ref0 in Trash))));3;(always (all ref0:(one (File & Trash))|(always (ref0 in Trash))));2
149;this/prop5;(all ref0:(one File)|(eventually (ref0 !in File)));3;(eventually (some ref0:(one File)|(after (ref0 !in File))));3
150;this/prop9;(all ref0:(one File)|((always (ref0 !in Trash)) since (ref0 in Protected)));3;(always (all ref0:(one Protected)|(ref0 !in Trash)));6
151;this/prop8;(always (some ref0:(one (File . (File <: link)))|(eventually (ref0 in Trash))));3;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));2
152;this/prop18;(always (all ref0:(one File)|((ref0 in Trash) triggered (ref0 !in Protected))));3;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 in Protected))));6
153;this/prop6;(all ref0:(one Trash)|(always (ref0 in (Trash)')));3;(always (all ref0:(one Trash)|(ref0 in (Trash)')));2
154;this/prop12;(eventually (all ref0:(one File)|((ref0 !in Trash) => (ref0 in (Trash)'))));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));8
155;this/prop10;(always (all ref0:(one File)|(((ref0 !in Protected) => (ref0 !in Protected)) && ((ref0 in Protected) => (ref0 in Protected)))));3;(always (all ref0:(one Protected)|((always (ref0 in Protected)) && (historically (ref0 in Protected)))));12
156;this/prop11;((Protected)' = ((File - Protected) + Protected));3;(always ((File - Protected) in (Protected)'));7
157;this/prop6;(always ((some File) => (always (File in (File)'))));3;(always ((some Trash) => (always (Trash in (Trash)'))));6
158;this/prop12;(always (some ref0:(one File)|(eventually (ref0 in Trash))));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));4
159;this/prop8;(eventually (all ref0:(one (File . (File <: link)))|(ref0 in Trash)));3;(always (all ref0:(one ((File <: link) . File))|(eventually (ref0 in Trash))));3
160;this/prop12;(always (all ref0:(one File)|((eventually (ref0 in Trash)) => (ref0 in Trash))));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));8
161;this/prop6;(always (all ref0:(one Trash)|((ref0 in Trash) since (ref0 in Trash))));3;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));5
162;this/prop16;(always (all ref0:(one File)|(historically (ref0 in Protected))));3;(always (all ref0:(one (File & Protected))|(historically (ref0 in Protected))));2
163;this/prop18;(always (all ref0:(one Protected)|((ref0 in Trash) => (after (ref0 !in Protected)))));3;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 in Protected))));7
164;this/prop6;(some ref0:(one File)|((ref0 in Trash) => (always (ref0 in Trash))));3;(always (all ref0:(one Trash)|((ref0 in Trash) => (always (ref0 in Trash)))));3
165;this/prop5;(eventually (some ref0:(one Trash)|(ref0 !in (File)')));3;(eventually (some ref0:(one File)|(ref0 !in (File)')));2
166;this/prop17;(always ((File)' = (File - (File & Trash))));3;(always (no (((File)' & File) & Trash)));7
167;this/prop12;(always (some ref0:(one File)|((eventually (ref0 in Trash)) => (ref0 in Trash))));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));8
168;this/prop17;(always ((File)' = (File - Trash)));3;(always (no (((File)' & File) & Trash)));5
169;this/prop12;(eventually (File in Trash));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));4
170;this/prop18;(always (all ref0:(one Protected)|((ref0 in Trash) => (ref0 !in (Protected)'))));3;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 in Protected))));7
171;this/prop5;(some ref0:(one Trash)|(eventually ((File)' = (File - ref0))));3;(eventually (File !in (File)'));7
172;this/prop8;(always ((some (File . (File <: link))) => (eventually ((File . (File <: link)) in Trash))));3;(always (all ref0:(one File)|((some (ref0 . (File <: link))) => (eventually (ref0 in Trash)))));7
173;this/prop5;(some ref0:(one File)|((eventually (ref0 in Trash)) && (ref0 !in Trash)));3;(eventually (some ref0:(one File)|((ref0 in File) => (eventually (ref0 !in File)))));11
174;this/prop10;(always (all ref0:(one File)|(ref0 in Protected)));3;(always ((Protected)' = Protected));6
175;this/prop5;(some ref0:(one Trash)|(eventually (ref0 !in File)));3;(eventually (some ref0:(one File)|(after (ref0 !in File))));3
176;this/prop16;(all ref0:(one File)|((once (ref0 in Protected)) => (always (ref0 in Protected))));3;(always (all ref0:(one File)|((ref0 in Protected) => (historically (ref0 in Protected)))));6
177;this/prop12;(always (all ref0:(one File)|((eventually (ref0 in Trash)) => (eventually (ref0 !in Trash)))));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));9
178;this/prop14;(always ((some (Protected & Trash)) => ((Protected & Trash) !in (Protected)')));3;(always (all ref0:(one File)|((ref0 in (Protected & Trash)) => (ref0 !in (Protected)'))));8
179;this/prop18;(always (all ref0:(one Protected)|((ref0 in Trash) releases (always (ref0 in Protected)))));3;(always (all ref0:(one Protected)|((ref0 in Trash) releases (ref0 in Protected))));3
180;this/prop16;(always (all ref0:(one File)|(always (ref0 in Protected))));3;(always (all ref0:(one (File & Protected))|(historically (ref0 in Protected))));4
181;this/prop16;(always (all ref0:(one File)|((ref0 in Protected) => (always (ref0 in Protected)))));3;(always (all ref0:(one File)|((ref0 in Protected) => (historically (ref0 in Protected)))));4
182;this/prop18;(always (all ref0:(one File)|((ref0 in Protected) triggered (ref0 in Trash))));3;(always (all ref0:(one Protected)|((after (ref0 !in Protected)) => (ref0 in Trash))));7
183;this/prop18;(always (all ref0:(one File)|((ref0 in Protected) until (ref0 in Trash))));3;(always (all ref0:(one Protected)|((after (ref0 !in Protected)) => (ref0 in Trash))));7
184;this/prop12;(eventually (always (some ref0:(one File)|(ref0 in Trash))));3;(eventually (some ref0:(one Trash)|(always (ref0 in Trash))));2
185;this/prop12;(eventually (all ref0:(one File)|(eventually (ref0 in Trash))));3;(eventually (some ref0:(one File)|(eventually (always (ref0 in Trash)))));3
186;this/prop12;(some ref0:(one File)|((ref0 in Trash) since (ref0 in Trash)));3;(eventually (some ref0:(one File)|((ref0 in Trash) releases (always (ref0 in Trash)))));6
187;this/prop10;(all ref0:(one Protected)|((ref0)' = ref0));2;(always ((Protected)' = Protected));6
188;this/prop1;(before ((no Protected) && (no Trash)));2;((no Protected) && (no Trash));1
189;this/prop1;(before (no Trash));2;(no (Protected + Trash));3
190;this/prop10;(always (all ref0:(one Protected)|(after (ref0 in Protected))));2;(always ((Protected)' = Protected));7
191;this/prop6;(Trash in (Trash)');2;(always (Trash in (Trash)'));1
192;this/prop1;(no (Protected & Trash));2;(no (Protected + Trash));2
193;this/prop5;((eventually (no File)) && (some File));2;(eventually (some ref0:(one File)|(eventually (no (ref0 & File)))));7
