predicate;formula;frequency;closest_solution;solution_distance
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 !in Trash)));4;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv7;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref0 in Trash))));4;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 in Trash))));6
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref2) !in (File <: link))));4;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));8
this/inv7;(all ref0:(one File)|(((File <: link) . ref0) !in Trash));4;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
this/inv7;(all ref0:(one File)|(some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 !in Trash) && (ref1 !in Trash)))));4;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv6;(some ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));4;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));6
this/inv1;(no (Trash . (File <: link)));3;(no Trash);2
this/inv6;(one (File . (File <: link)));3;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 in Trash) || ((ref1 in Trash) => ((ref0 -> ref1) !in (File <: link)))));3;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));14
this/inv7;(all ref0:(one File)|((all ref1:(one File)|((ref0 -> ref1) in (File <: link))) => (ref0 !in Trash)));3;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv5;(all ref0:(one Protected)|(ref0 in Trash));3;(all ref0:(one (File - Protected))|(ref0 in Trash));2
this/inv6;((File . (File <: link)) in File);3;((File <: link) in (File ->lone File));4
this/inv4;(all ref0:(one File)|(ref0 in Protected));3;(no ref0:(one Protected)|(ref0 in Trash));4
this/inv5;(all ref0:(one File)|(ref0 !in Protected));3;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));6
this/inv6;(all ref0:(one File)|(some ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2))));3;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));6
this/inv5;(some ref0:(one File)|((ref0 !in Protected) && (ref0 in Trash)));3;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && (ref1 != ref2)) => ((ref0 -> ref2) !in (File <: link))));3;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));12
this/inv6;(all ref0:(one File),ref1:(one (ref0 . (File <: link)))|((# ref1) < 2));3;(all ref0:(one File)|((# (ref0 . (File <: link))) < 2));7
this/inv5;(all ref0:(one File)|(ref0 in Trash));3;(all ref0:(one (File - Protected))|(ref0 in Trash));2
this/inv5;(all ref0:(one File)|((ref0 !in Protected) || (ref0 in Trash)));3;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
this/inv7;(all ref0:(one File)|(some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 !in Trash))));3;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv1;(all ref0:(one File),ref1:(one Trash)|((ref0 -> ref1) !in (File <: link)));3;(all ref0:(one File),ref1:(one Trash)|(ref0 !in ref1));6
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref0 = ref2)));3;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));8
this/inv6;(all ref0:(one File)|(some ((File <: link) . ref0)));3;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) = (ref1 . (File <: link))) => (ref0 = ref1)));3;(all ref0:(one File)|(lone (ref0 . (File <: link))));12
this/inv1;(some ref0:(one File)|(ref0 in Trash));2;(no ref0:(one File)|(ref0 in Trash));2
this/inv5;((File - Protected) = Trash);2;((File - Protected) in Trash);2
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 -> ref2) !in (File <: link))));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));12
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 in Protected) && (ref1 in Protected))));2;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));11
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref2) in (File <: link)) && ((ref1 -> ref2) in (File <: link))) => (ref0 = ref1)));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));12
this/inv9;(all ref0:(one File),ref1:(one File)|((! (some ref2:(one File)|((ref2 -> ref0) in (File <: link)))) && (! (some ref3:(one File)|((ref3 -> ref1) in (File <: link))))));2;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (some ref2:(one File)|((ref1 -> ref2) in (File <: link))))));14
this/inv6;((File <: link) in (File ->one File));2;((File <: link) in (File ->lone File));2
this/inv6;((File <: link) in (File one->one File));2;((File <: link) in (File ->lone File));2
this/inv2;(all ref0:(one File)|(ref0 !in File));2;(no ref0:(one File)|(ref0 !in Trash));4
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File),ref3:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref2 -> ref3) in (File <: link))) => ((ref1 -> ref2) !in (File <: link))));2;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));13
this/inv4;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));2;(all ref0:(one File)|((ref0 in Protected) => (! (ref0 in Trash))));5
this/inv6;(all ref0:(one File)|(lone (ref0 -> (File <: link))));2;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
this/inv2;(all ref0:(one Trash)|(ref0 !in File));2;(no ref0:(one File)|(ref0 !in Trash));4
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref2) in (File <: link)) && ((ref1 -> ref2) in (File <: link))) => (ref1 = ref2)));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));10
this/inv5;(all ref0:(one Trash)|(ref0 !in Protected));2;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));6
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 -> ref1) in (File <: link)));2;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv7;(all ref0:(one File)|((ref0 !in Trash) && ((ref0 . (File <: link)) !in Trash)));2;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));8
this/inv5;(all ref0:(one File)|((ref0 !in Protected) => (ref0 !in Trash)));2;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
this/inv7;(all ref0:(one File)|((ref0 . (^ (File <: link))) !in Trash));2;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));5
this/inv1;(all ref0:(one File),ref1:(one Trash)|((ref1 -> ref0) !in (File <: link)));2;(all ref0:(one File)|(ref0 !in Trash));7
this/inv1;(File !in Trash);2;(all ref0:(one File)|(ref0 !in Trash));3
this/inv9;(all ref0:(one File)|(some ref1:(one (File - ref0))|((ref0 . (File <: link)) !in (ref1 . (File <: link)))));2;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));8
this/inv5;(all ref0:(one (univ - Protected))|(ref0 in Trash));2;(all ref0:(one (File - Protected))|(ref0 in Trash));2
this/inv6;(all ref0:(one File),ref1:(one (ref0 . (File <: link)))|(lone ref1));2;(all ref0:(one File)|(lone (ref0 . (File <: link))));7
this/inv9;(all ref0:(one File),ref1:(one File)|((some ref2:(one File)|((ref2 -> ref0) in (File <: link))) => (! (some ref3:(one File)|((ref3 -> ref1) in (File <: link))))));2;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (some ref2:(one File)|((ref1 -> ref2) in (File <: link))))));11
this/inv7;(all ref0:(one File)|(some ref1:(one File)|((ref0 -> ref1) in (File <: link))));2;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv7;(no (File <: link));2;(no ((File <: link) . Trash));2
this/inv5;(no ((File & Trash) & Protected));2;((File - (File & Protected)) in Trash);7
this/inv5;((File & Trash) = ((File - Protected) & Trash));2;((File - Protected) = ((File - Protected) & Trash));4
this/inv6;(all ref0:(one File)|(! (no (ref0 . (File <: link)))));2;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
this/inv2;((no Protected) && (no Trash));2;(no (File - Trash));5
this/inv1;(all ref0:(one File)|(one ref1:(one Trash)|(ref0 !in ref1)));2;(all ref0:(one File),ref1:(one Trash)|(ref0 !in ref1));4
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));10
this/inv2;(all ref0:(one File),ref1:(one Trash)|(ref0 in ref1));2;(all ref0:(one File)|(some ref1:(one Trash)|(ref0 in ref1)));4
this/inv5;(all ref0:(one File)|((ref0 in Trash) => (ref0 in Protected)));2;(all ref0:(one File)|((ref0 !in Trash) => (ref0 in Protected)));4
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref2) in (File <: link))) => (ref1 = ref2)));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));8
this/inv6;(all ref0:(one File)|((# (ref0 . (File <: link))) > 0));2;(all ref0:(one File)|((# (ref0 . (File <: link))) < 2));4
this/inv9;(all ref0:(one File),ref1:(one File)|((no (ref1 . (File <: link))) && (ref1 in (ref0 . (File <: link)))));2;(no ref0:(one File),ref1:(one File)|((ref0 in (File . (File <: link))) && (ref1 in (ref0 . (File <: link)))));9
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref3:(one File)|((ref0 -> ref3) !in (File <: link)))));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));15
this/inv1;(File in Trash);1;(Trash in none);2
this/inv1;(no ((File <: link) . Trash));1;(no Trash);2
this/inv4;(! (Protected in Trash));1;(all ref0:(one Protected)|(! (ref0 in Trash)));3
this/inv2;(none = Trash);1;(File = Trash);2
this/inv5;(all ref0:(one Protected)|(! (ref0 in Trash)));1;(all ref0:(one (File - Protected))|(ref0 in Trash));3
this/inv5;(Protected in Trash);1;((File - Protected) in Trash);2
this/inv4;(univ = univ);1;(no ref0:(one Protected)|(ref0 in Trash));7
this/inv4;(some ref0:(one File)|((ref0 in Protected) => (ref0 !in Trash)));1;(all ref0:(one File)|((ref0 in Protected) => (ref0 !in Trash)));2
this/inv4;(all ref0:(one Trash)|(none = ref0));1;(no ref0:(one Protected)|(ref0 in Trash));6
this/inv7;(no (((File <: link) . File) & Trash));1;(no ((File . (File <: link)) & Trash));2
this/inv5;(all ref0:(one File)|(one ref1:(one Trash)|(ref0 in ref1)));1;(all ref0:(one (File - Protected))|(one ref1:(one Trash)|(ref0 in ref1)));4
this/inv7;(no ref0:(one File)|((ref0 . (File <: link)) in Trash));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & Trash)));5
this/inv7;(no ref0:(one File)|(((File <: link) . ref0) in Trash));1;(no ((File . (File <: link)) & Trash));6
this/inv4;(some ref0:(one File)|(! (ref0 in Trash)));1;(all ref0:(one Protected)|(! (ref0 in Trash)));2
this/inv4;(some ref0:(one Protected)|(! (ref0 in Trash)));1;(all ref0:(one Protected)|(! (ref0 in Trash)));2
this/inv6;(all ref0:(one File)|(2 > (# (ref0 . (File <: link)))));1;(all ref0:(one File)|(1 > (# (ref0 . (File <: link)))));2
this/inv7;((# (File <: link)) = 2);1;(no ((File <: link) . Trash));6
this/inv7;(some ref0:(one File)|((ref0 . (File <: link)) !in Trash));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
this/inv7;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref0 -> ref1) in (File <: link)))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));6
this/inv7;(all ref0:(one File)|(no ref1:(one Trash)|((ref0 . (File <: link)) in ref1)));1;(no ((File <: link) . Trash));7
this/inv7;(all ref0:(one File)|(no ref1:(one Trash)|(ref0 in ref1)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));7
this/inv1;(some Trash);1;(no Trash);2
this/inv7;(all ref0:(one File)|(no ref1:(one Trash)|(((ref0 . (File <: link)) in ref1) || (ref0 in ref1))));1;(no ref0:(one File)|((ref0 in (File . (File <: link))) && (ref0 in Trash)));11
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 !in Trash) => ((ref0 -> ref1) in (File <: link))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));8
this/inv2;(all ref0:(one File)|(File in ref0));1;(File in Trash);3
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 !in Trash) && (ref1 !in Trash)) => ((ref0 -> ref1) in (File <: link))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));12
this/inv2;(all ref0:(one File)|((File !in Protected) && (File in ref0)));1;(File in Trash);7
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 in Trash) || (ref1 in Trash)) => ((ref0 -> ref1) !in (File <: link))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));12
this/inv2;(all ref0:(one File)|(ref0 in File));1;(File in Trash);3
this/inv4;(all ref0:(one File),ref1:(one Trash)|(ref0 != ref1));1;(all ref0:(one Protected),ref1:(one Trash)|(ref0 != ref1));4
this/inv4;(all ref0:(one File)|(ref0 !in Trash));1;(all ref0:(one Protected)|(ref0 !in Trash));2
this/inv7;(some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 !in Trash) && (ref1 !in Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref2 -> ref1) in (File <: link))) => (ref0 = ref2)));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));10
this/inv9;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 != ref1)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (none = (ref1 . (File <: link)))));10
this/inv6;((File <: link) in (File -> File));1;((File <: link) in (File ->lone File));2
this/inv5;(all ref0:(one File)|((Protected - ref0) in Trash));1;((File - Protected) in Trash);3
this/inv6;(all ref0:(one File),ref1:(one File)|((! disj[ref0,ref1]) || ((ref0 -> ref1) in (File <: link))));1;((File <: link) in (File ->lone File));13
this/inv6;((File <: link) in (File some->one File));1;((File <: link) in (File ->lone File));2
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 in Trash) && (ref1 in Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));9
this/inv9;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref0) !in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));7
this/inv7;(all ref0:(one File),ref1:(one File)|((! disj[ref0,ref1]) || ((ref0 -> ref1) in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));13
this/inv9;(all ref0:(one File),ref1:(one File)|(some ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref2) !in (File <: link)))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));6
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 in (File - Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));9
this/inv7;(all ref0:(one File)|((ref0 !in Trash) => ((ref0 . (File <: link)) !in Trash)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));8
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref2) in (File <: link))) => (ref0 = ref1)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (no ref2:(one File)|((ref1 -> ref2) in (File <: link)))));10
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (no ((ref0 . (File <: link)) & (ref1 . (File <: link))))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));15
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((no (ref0 -> ref0)) && (no ((ref0 . (File <: link)) & (ref1 . (File <: link)))))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));19
this/inv1;((Trash)' = Trash);1;(none = Trash);3
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|((ref0 -> ref1) in (File <: link)));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));9
this/inv6;(((File <: link) . (~ (File <: link))) in iden);1;(((~ (File <: link)) . (File <: link)) in iden);2
this/inv6;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));1;((File <: link) in (File ->lone File));11
this/inv1;(! (some ref0:(one File)|(ref0 !in Trash)));1;(all ref0:(one File)|(ref0 !in Trash));3
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref0) in (File <: link))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));11
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 !in Trash) && (ref1 !in Trash)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));7
this/inv5;(all ref0:(one Trash)|(ref0 in Protected));1;(all ref0:(one (File - Protected))|(ref0 in Trash));4
this/inv1;((all ref0:(one File)|(ref0 in Trash)) && (no Trash));1;((all ref0:(one File)|(ref0 !in Trash)) && (no Trash));4
this/inv5;(some ref0:(one File)|((ref0 !in Protected) || (ref0 in Trash)));1;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 != ref2)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (no ref2:(one File)|((ref1 -> ref2) in (File <: link)))));12
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref2) in (File <: link))) => (ref1 != ref2)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (no ref2:(one File)|((ref1 -> ref2) in (File <: link)))));10
this/inv5;(some ref0:(one File),ref1:(one Protected)|((ref0 in Trash) && (ref1 !in Trash)));1;(all ref0:(one (File - Protected))|(ref0 in Trash));7
this/inv9;(! (some ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link)) && (ref1 != ref2))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(! (((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref2) in (File <: link)))));11
this/inv5;(some ref0:(one File)|(all ref1:(one Protected)|((ref0 in Trash) && (ref1 !in Trash))));1;(all ref0:(one (File - Protected))|(ref0 in Trash));7
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (((! (ref0 in Trash)) && ((ref1 -> ref0) in (File <: link))) => (! (ref0 in Trash)))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));16
this/inv5;(all ref0:(one File)|((ref0 in Protected) => (ref0 !in Trash)));1;(all ref0:(one File)|((! (ref0 in Protected)) => (ref0 in Trash)));5
this/inv9;(! (some ref0:(one File),ref1:(one File),ref2:(one File),ref3:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref2 -> ref3) in (File <: link))) => (! ((ref0 = ref2) && (ref1 = ref3))))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(! (((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref2) in (File <: link)))));18
this/inv2;(some ref0:(one File)|(ref0 in Trash));1;(all ref0:(one File)|(ref0 in Trash));2
this/inv1;(no File);1;(no Trash);2
this/inv1;(no (File <: link));1;(no Trash);2
this/inv2;(no (File - Protected));1;(no (File - Trash));2
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 in Trash) && (ref1 in Trash)) => ((ref0 -> ref1) !in (File <: link))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));12
