predicate;formula;frequency;closest_solution;closest_solution_edit_distance
this/Inv1;(all ref0:(one Component)|(some ref1:(one Product)|((ref0 . (Component <: parts)) = ref1)));3;(all ref0:(one Component)|(some (ref0 . (Component <: parts))));6
this/Inv2;((^ (Component <: parts)) !in iden);3;(no ((^ (Component <: parts)) & iden));3
this/Inv4;(all ref0:(one Component)|(some ref1:(one Product)|((ref1 in (ref0 . (Component <: parts))) => (ordering/lt[(ref0 . (Component <: position)),(ref1 . (Component <: position))]))));3;(all ref0:(one Component)|(ordering/lte[((ref0 . (Component <: parts)) . (Component <: position)),(ref0 . (Component <: position))]));11
this/Inv4;(all ref0:(one Component),ref1:(one Product)|((ref1 in (ref0 . (Component <: parts))) => (ordering/lt[(ref0 . (Component <: position)),(ref1 . (Component <: position))])));3;(all ref0:(one Component)|(ordering/lte[((ref0 . (Component <: parts)) . (Component <: position)),(ref0 . (Component <: position))]));11
this/Inv1;(all ref0:(one Component)|(some (Component <: parts)));2;(all ref0:(one Component)|(some (ref0 . (Component <: parts))));4
this/Inv2;(all ref0:(one Component)|(ref0 !in ((ref0 . (Component <: parts)) :> Component)));2;(all ref0:(one Product)|(ref0 !in (ref0 . (^ (Component <: parts)))));5
this/Inv4;(all ref0:(one Component),ref1:(one (ref0 . (Component <: parts)))|(ref1 !in (ordering/nexts[(ref0 . (Component <: position))])));2;(all ref0:(one Component),ref1:(one ((ref0 . (Component <: parts)) & Component))|((ref1 . (Component <: position)) !in (ordering/nexts[(ref0 . (Component <: position))])));6
this/Inv4;(all ref0:(one Component),ref1:(one (ref0 . (Component <: parts)))|(ref1 !in (ref0 . (^ (Component <: parts)))));2;(all ref0:(one Component),ref1:(one ((ref0 . (Component <: parts)) . (Component <: position)))|(ref1 !in ((ref0 . (Component <: position)) . (^ (ordering/next[])))));8
this/Inv3;(all ref0:(one Component)|((ref0 . (Component <: position)) = (Robot . (Robot <: position))));2;(all ref0:(one Component)|((ref0 . (Component <: position)) in (Robot . (Robot <: position))));4
this/Inv4;(all ref0:(one Component)|(((ref0 . (^ (Component <: parts))) . (Component <: position)) in ((ordering/prevs[((ref0 . (Component <: parts)) . (Component <: position))]) + (ref0 . (Component <: position)))));2;(all ref0:(one Component)|(((ref0 . (^ (Component <: parts))) . (Component <: position)) in ((ordering/prevs[(ref0 . (Component <: position))]) + (ref0 . (Component <: position)))));2
this/Inv2;(all ref0:(one Component)|(no (ref0 . (^ (Component <: parts)))));2;(all ref0:(one Component)|(no (ref0 & (ref0 . (^ (Component <: parts))))));4
this/Inv2;(all ref0:(one Component)|(no ((ref0 <: (Component <: parts)) . ref0)));2;(all ref0:(one Component)|(no (ref0 & (ref0 . (^ (Component <: parts))))));7
this/Inv2;(no ref0:(one Component)|(ref0 in (ref0 . (Component <: parts))));2;(no ref0:(one Component)|(ref0 in (ref0 . (^ (Component <: parts)))));3
this/Inv1;(all ref0:(one Component)|((ref0 . (Component <: parts)) in univ));2;(all ref0:(one Component)|(some (ref0 . (Component <: parts))));5
this/Inv2;(all ref0:(one Component)|(no (ref0 <: ((Component <: parts) . ref0))));2;(all ref0:(one Component)|(no (ref0 & (ref0 . (^ (Component <: parts))))));7
