Challenge;Predicate;Expression;Popularity
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | p in User.posts or p in Influencer.posts;4
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo|#(~posts[p])<=1;4
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2:User | not some p:Photo | u1!=u2 and u1->p in posts and u2->p in posts;2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : Photo | all t : User | x in t.posts implies x not in t.sees all x : Photo | all t : User | x in t.sees implies x not in t.posts;1
dkZH6HJNQNLLDX6Aj;inv1;one u:User| all p:Photo| one posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo| one (p & Photo) and (p in User.posts or p in Influencer.posts);1
dkZH6HJNQNLLDX6Aj;inv1;some u:User| posts.Photo in u;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo|all u:User|#(posts[u])<=1;1
dkZH6HJNQNLLDX6Aj;inv1;all p :Photo|one u:User|some u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;Photo in (one User.posts);1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : User | x not in x.follows;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | #x.posts = 1;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | one u:User | posts.u in p;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo| one User.posts->p;4
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : User | x not in x.follows all x : Influencer | x not in follows.x;1
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2 : User | all p : Photo | (u1->p) in posts and (u2->p) in posts implies u1=u2 all p : Photo | lone posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | x in User and z in User and y in Photo and x.posts=y and z.posts=y implies x=z;1
dkZH6HJNQNLLDX6Aj;inv1;one User.posts;1
dkZH6HJNQNLLDX6Aj;inv1;one sees;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some y : User | x -> y in posts;5
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | one u: User | u.posts = p;9
dkZH6HJNQNLLDX6Aj;inv1;not some p:Photo | all disj u1, u2:User | u1->p in posts and u2->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2:User | (some p:Photo | u1->p in posts and u2->p in posts) implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all p : univ | p in Photo implies some u : univ | u in User and u in posts.p all p : Photo | some u1, u2 : univ | u1 in posts.p and u2 in posts.p implies u1 = u2;2
dkZH6HJNQNLLDX6Aj;inv1;all d1,d2 : Day | d1.prev = d2 implies d2.next = d1;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | some u:User | lone posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;~posts.~posts in iden;1
dkZH6HJNQNLLDX6Aj;inv1;lone User.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all i : Photo | one i;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | some u : User | p in u.posts all a : Ad| some u : User | a in u.posts all p: Photo | some i : Influencer | p in i.posts all a : Ad| some i : Influencer | a in i.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all x:Photo | all y:User | x in (one y.posts);4
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | all u : User | u->p in posts;10
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : User | x not in x.follows and x not in follows.x all x : Influencer | x not in x.^follows and x not in follows.x;2
dkZH6HJNQNLLDX6Aj;inv1;all u : User | all p : Photo | p in u.posts all p : Photo | all u1,u2 : User | (p in u1.posts and p in u2.posts) implies (u1=u2);1
dkZH6HJNQNLLDX6Aj;inv1;all p : univ | p in Photo implies some u : univ | u in User and u in posts.p all p : univ | some u1, u2 : univ | p in Photo and u1 in posts.p and u2 in posts.p implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User.posts | p in Photo => p = u;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : Photo | all t : User | x in t.posts implies x not in t.sees;1
dkZH6HJNQNLLDX6Aj;inv1;all i : Photo | some u : User | u in posts.i;2
dkZH6HJNQNLLDX6Aj;inv1;one x:User | all p:Photo | x->p in posts all x,y:User| all p:Photo | x->p in posts and y->p in posts implies x=y;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : User | ad not in x.posts;3
dkZH6HJNQNLLDX6Aj;inv1;all u:User , p: Photo| lone posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all i : univ | i in Photo implies some x : univ | x->i in posts all p : univ | p in Photo implies some x,y : univ | x->p in posts and y->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo| some p.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | p in User.posts all p: Photo| some u1, u2: User | p in u1.posts and p in u2.posts implies u1=u2;1
dkZH6HJNQNLLDX6Aj;inv1;all i : univ | i in Photo implies some x : univ | x->i in posts all p : univ | p in Photo implies some x,y : univ | x->p in posts and y->p in posts implies x=y;2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo |all u : User | u->x in posts implies x in User;2
dkZH6HJNQNLLDX6Aj;inv1;all u: User, p: Photo | one u->p;1
dkZH6HJNQNLLDX6Aj;inv1;not some p:Photo | all u1, u2:User | u1->p in posts and u2->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | x in Photo implies y in User and z in User and y->x in posts and z->x in posts and z = y;5
dkZH6HJNQNLLDX6Aj;inv1;Ad != Photo;1
dkZH6HJNQNLLDX6Aj;inv1;posts in User -> one Photo;5
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | one p->User;1
dkZH6HJNQNLLDX6Aj;inv1;all u:Photo | one p:Photo | p in u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;one u: User | Photo in u.posts or Photo in Influencer.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | x in User and z in User and y in Photo and x -> y in posts and z -> y in posts implies x=z;2
dkZH6HJNQNLLDX6Aj;inv1;one u: User| u in u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | y->z in posts and z->x in posts implies y = z;1
dkZH6HJNQNLLDX6Aj;inv1;some u: User | u.posts = Photo;2
dkZH6HJNQNLLDX6Aj;inv1;all u: User | one p: Photo | u.posts in p;1
dkZH6HJNQNLLDX6Aj;inv1;all image : Photo | one u : User | image in u;3
dkZH6HJNQNLLDX6Aj;inv1;all x,y : univ | x in Photo implies y in User and y->x in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x : univ | x in Photo implies some y: univ | y->x in posts;3
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one u : User | lone posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;~posts.posts in iden;2
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User | p->u in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User | p in u.posts and p in u.posts implies p not in (User-u).posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x: Photo | x in (one posts.User);1
dkZH6HJNQNLLDX6Aj;inv1;posts in User lone -> Photo;4
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some y : User | one y;1
dkZH6HJNQNLLDX6Aj;inv1;all p : univ | lone (posts.p);2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some y,z : User | y->x in posts and z->x in posts => z=y;2
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2: User, p1 : Photo | (u1->p1 in posts or u1->p1 in sees) and u2->p1 in posts implies u1=u2;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : User | x not in x.follows and x not in follows.x all x : Influencer | x not in x.follows and x not in follows.x;1
dkZH6HJNQNLLDX6Aj;inv1;one posts.Photo Photo in User.posts;3
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | lone (p.posts);3
dkZH6HJNQNLLDX6Aj;inv1;posts.Photo = User + Influencer;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | lone u:User,i:Influencer | p in u.posts or p in i.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo, u : User | some user : User | x in posts.user implies x not in posts.u;2
dkZH6HJNQNLLDX6Aj;inv1;all u: User | one p: Photo| p = u.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all y : univ | y in Photo implies some x : User | x.posts=y all x,y,z : univ | x in User and z in User and y in Photo and x.posts=y and z.posts=y implies x=z;1
dkZH6HJNQNLLDX6Aj;inv1;User.posts = Photo all p1,p2 : User | p1.posts != p2.posts && p1!=p2;1
dkZH6HJNQNLLDX6Aj;inv1;all p : univ | p in Photo implies some u : univ | u in User and u in posts.p some p : Photo | some u1, u2 : univ | u1 in posts.p and u2 in posts.p implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all y : univ | y in Photo implies some x : User | x.posts=y all x,y,z : univ | x in User and z in User and y in Photo and x->y in posts and z->y in posts implies x=z;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one u : User.posts | p = u;1
dkZH6HJNQNLLDX6Aj;inv1;one p: Photo, u: User.posts | p in Photo => (p = u);1
dkZH6HJNQNLLDX6Aj;inv1;all u:User,f:Photo|one posts.u;2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : User | ad not in posts.x;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one p & User.posts;5
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo| #(p.date) >0;1
dkZH6HJNQNLLDX6Aj;inv1;posts in User one -> one Photo;3
dkZH6HJNQNLLDX6Aj;inv1;User.posts = Photo + Ad;2
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User | p in Photo iff p in u.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p : User.posts | all n : Photo | p in n;1
dkZH6HJNQNLLDX6Aj;inv1;one Photo & User.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p : univ | p in Photo implies some u : univ | u in User and u->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;posts.Photo = User - Influencer;1
dkZH6HJNQNLLDX6Aj;inv1;all img : Photo | one posts.User;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo, u:User | u.posts in Photo;2
dkZH6HJNQNLLDX6Aj;inv1;one Photo.~posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | lone (User.posts & p);3
dkZH6HJNQNLLDX6Aj;inv1;all u:User | u->u not in follows;1
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | y->x in posts and z->x in posts implies y = z;1
dkZH6HJNQNLLDX6Aj;inv1;all u:User-Photo | one posts.u;1
dkZH6HJNQNLLDX6Aj;inv1;User.posts = Photo all p1,p2 : User | p1.posts != p2.posts or p1!=p2;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | one u: User.posts | p in Photo => (p = u);1
dkZH6HJNQNLLDX6Aj;inv1;all x: Photo | one y: User | y in x.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad all x : User | x not in x.follows all x : Influencer | x not in x.follows;1
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2:User | all p:Photo | (u1->p in posts and u2->p in posts) implies u1!=u2;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo, u:User | p in Photo iff u.posts in Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User.posts | p = Photo => p = u;1
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2 : User |some p : Photo | p in u1.posts implies p not in u2.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | some post: User.posts | p in post;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo, u : User | some user : User | x in posts.user implies x not in posts.User;1
dkZH6HJNQNLLDX6Aj;inv1;all photo: Photo | all user1, user2: User | photo in User.posts and photo in user1.posts and photo in user2.posts implies user1=user2;3
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2: User, p1 : Photo | p1->u1 in posts and p1->u2 in posts implies u1=u2;2
dkZH6HJNQNLLDX6Aj;inv1;(all p : Photo | some u : User | p in u.posts implies (all user : User | p not in user.posts)) && all u1,u2 : User | one p : Photo| p in u1.posts and p in u2.posts implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User.posts | p in Photo => p in u;1
dkZH6HJNQNLLDX6Aj;inv1;no (User.posts & Influencer.posts);1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | lone User.posts & p and some User.posts;1
dkZH6HJNQNLLDX6Aj;inv1;User.posts = Photo all p1,p2 : User | p1.posts != p2.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo|all u:User|some p.~posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one post: User.posts | p in post;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | one sees.User;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one User.posts->p or one Influencer.posts->p;1
dkZH6HJNQNLLDX6Aj;inv1;all img:Photo | sum posts.img != 0;2
dkZH6HJNQNLLDX6Aj;inv1;all x, y : User | all z : Photo | z in x.posts and z in y.posts implies z = y;1
dkZH6HJNQNLLDX6Aj;inv1;User.posts = Photo;4
dkZH6HJNQNLLDX6Aj;inv1;one (User.posts & Influencer.posts);1
dkZH6HJNQNLLDX6Aj;inv1;all u1:User | all p:Photo | u1->p in posts;3
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all x : User | x not in x.follows and x not in follows.x all ad : Ad | all x : User | ad not in x.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | one ~posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | some u : User | u->p in posts all p : Photo | some u1,u2 : User | u1->p in posts and u2->p in posts implies u1=u2;1
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2 : User |all p : Photo | u1->p in posts implies u2->p not in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo| one u :User| p in posts.u;3
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo| lone User.posts->p;1
dkZH6HJNQNLLDX6Aj;inv1;not some p:Photo | all u1, u2:User | u1!=u2 and u1->p in posts and u2->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;(all p : Photo | some u : User | u->p in posts) && all u1,u2 : User | one p : Photo| p in u1.posts and p in u2.posts implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all u:User | all u2:User | all p:Photo | p in u.posts and u != u2 implies p not in u2.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all x : User | x not in x.follows and x not in follows.x all x : Influencer | x not in x.follows and x not in follows.x;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | some posts.User;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | all a : Ad| some u : User | p in u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all u1: User | u1 != u1;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | p in posts.Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo, u : User | some user : User | x in user.posts implies x not in u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all x : Ad | all y : User | x not in y.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | x in Photo implies y->x in posts and z->x in posts and z = y;2
dkZH6HJNQNLLDX6Aj;inv1;posts in User one -> lone Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one u : User.posts | p = p;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | one User->p;1
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2: User, p1 : Photo | (u1->p1 in posts or u1->p1 in sees) and (u2->p1 in posts or u2->p1 in sees) implies u1=u2;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | one u:User | p->u in posts;4
dkZH6HJNQNLLDX6Aj;inv1;all x,y,z : univ | x->y in posts and z->y in posts implies x=z;1
dkZH6HJNQNLLDX6Aj;inv1;all f : Photo | all u1, u2 : User | f in User.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x: Photo | x in (one User.posts) && #User.posts=1;1
dkZH6HJNQNLLDX6Aj;inv1;one u : User | u.posts = Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all i1, i2 : univ | some u : univ | i1 -> u in posts and i2 -> u in posts;2
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some y: User | one posts.y;1
dkZH6HJNQNLLDX6Aj;inv1;User.posts = Photo all p1,p2 : User | p1.posts != p2.posts or p1=p2 all p : Photo | lone posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2 : User |one p : Photo | p in u1.posts implies p not in u2.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all u:User|#(u.posts)=1;1
dkZH6HJNQNLLDX6Aj;inv1;all i : univ | i in Photo implies i in User;1
